Produit*_(sp.fk_product);Fournisseur*_(sp.fk_soc);Réf._produit_fournisseur_(sp.ref_fourn);Quantité minimum* (sp.quantity);Taux TVA (sp.tva_tx);Prix quantité min. HT* (sp.price);Prix unitaire HT* (sp.unitprice);Remise par défaut quantité min. (sp.remise_percent)
ZC254_REFLEKTOR-NARROW-IP40+DimDSI;ELKOVO;ZC254_REFLEKTOR-NARROW-IP40+DimDSI;1;20; 113.76 ; 113.76 ;0
ZC254_REFLEKTOR-NARROW-IP40+NZ;ELKOVO;ZC254_REFLEKTOR-NARROW-IP40+NZ;1;20; 123.64 ; 123.64 ;0
ZC235_REFLEKTOR-NARROW-IP40;ELKOVO;ZC235_REFLEKTOR-NARROW-IP40;1;20; 98.68 ; 98.68 ;0
ZC235_REFLEKTOR-NARROW-IP40+Dim1-10V;ELKOVO;ZC235_REFLEKTOR-NARROW-IP40+Dim1-10V;1;20; 117.52 ; 117.52 ;0
ZC235_REFLEKTOR-NARROW-IP40+DimDALI;ELKOVO;ZC235_REFLEKTOR-NARROW-IP40+DimDALI;1;20; 122.32 ; 122.32 ;0
ZC235_REFLEKTOR-NARROW-IP40+DimDSI;ELKOVO;ZC235_REFLEKTOR-NARROW-IP40+DimDSI;1;20; 126.80 ; 126.80 ;0
ZC235_REFLEKTOR-NARROW-IP40+NZ;ELKOVO;ZC235_REFLEKTOR-NARROW-IP40+NZ;1;20; 136.68 ; 136.68 ;0
ZC249_REFLEKTOR-NARROW-IP40;ELKOVO;ZC249_REFLEKTOR-NARROW-IP40;1;20; 98.68 ; 98.68 ;0
ZC249_REFLEKTOR-NARROW-IP40+Dim1-10V;ELKOVO;ZC249_REFLEKTOR-NARROW-IP40+Dim1-10V;1;20; 117.52 ; 117.52 ;0
ZC249_REFLEKTOR-NARROW-IP40+DimDALI;ELKOVO;ZC249_REFLEKTOR-NARROW-IP40+DimDALI;1;20; 122.32 ; 122.32 ;0
ZC249_REFLEKTOR-NARROW-IP40+DimDSI;ELKOVO;ZC249_REFLEKTOR-NARROW-IP40+DimDSI;1;20; 126.80 ; 126.80 ;0
ZC249_REFLEKTOR-NARROW-IP40+NZ;ELKOVO;ZC249_REFLEKTOR-NARROW-IP40+NZ;1;20; 136.68 ; 136.68 ;0
ZC280_REFLEKTOR-NARROW-IP40;ELKOVO;ZC280_REFLEKTOR-NARROW-IP40;1;20; 106.16 ; 106.16 ;0
ZC280_REFLEKTOR-NARROW-IP40+Dim1-10V;ELKOVO;ZC280_REFLEKTOR-NARROW-IP40+Dim1-10V;1;20; 133.24 ; 133.24 ;0
ZC280_REFLEKTOR-NARROW-IP40+DimDALI;ELKOVO;ZC280_REFLEKTOR-NARROW-IP40+DimDALI;1;20; 134.96 ; 134.96 ;0
ZC280_REFLEKTOR-NARROW-IP40+DimDSI;ELKOVO;ZC280_REFLEKTOR-NARROW-IP40+DimDSI;1;20; 135.32 ; 135.32 ;0
ZC280_REFLEKTOR-NARROW-IP40+NZ;ELKOVO;ZC280_REFLEKTOR-NARROW-IP40+NZ;1;20; 144.16 ; 144.16 ;0
ZC428_REFLEKTOR-NARROW-IP40;ELKOVO;ZC428_REFLEKTOR-NARROW-IP40;1;20; 130.08 ; 130.08 ;0
ZC428_REFLEKTOR-NARROW-IP40+Dim1-10V;ELKOVO;ZC428_REFLEKTOR-NARROW-IP40+Dim1-10V;1;20; 167.80 ; 167.80 ;0
ZC428_REFLEKTOR-NARROW-IP40+DimDALI;ELKOVO;ZC428_REFLEKTOR-NARROW-IP40+DimDALI;1;20; 177.40 ; 177.40 ;0
ZC428_REFLEKTOR-NARROW-IP40+DimDSI;ELKOVO;ZC428_REFLEKTOR-NARROW-IP40+DimDSI;1;20; 186.32 ; 186.32 ;0
ZC428_REFLEKTOR-NARROW-IP40+NZ;ELKOVO;ZC428_REFLEKTOR-NARROW-IP40+NZ;1;20; 168.08 ; 168.08 ;0
