Référence;Label;En Vente;Description;Prix vente HT;taux TVA;poids;volume;Image;Code douanier;code_barre
ZC480/REFLEKTOR-NARROW-IP40+DimDSI;T5;1;T5 - 625 x 1540 x 100; 223.48 ; 20.00 ;;;;;
ZC480/REFLEKTOR-NARROW-IP40+NZ;T5;1;T5 - 625 x 1540 x 100; 203.20 ; 20.00 ;;;;;
ZC228/REFLEKTOR-IP54;T5;1;T5 - 275 x 1240 x 90; 95.92 ; 20.00 ;;;;;
ZC228/REFLEKTOR-IP54+Dim1-10V;T5;1;T5 - 275 x 1240 x 90; 114.76 ; 20.00 ;;;;;
ZC228/REFLEKTOR-IP54+DimDALI;T5;1;T5 - 275 x 1240 x 90; 119.56 ; 20.00 ;;;;;
ZC228/REFLEKTOR-IP54+DimDSI;T5;1;T5 - 275 x 1240 x 90; 124.04 ; 20.00 ;;;;;
ZC228/REFLEKTOR-IP54+NZ;T5;1;T5 - 275 x 1240 x 90; 133.92 ; 20.00 ;;;;;
ZC254/REFLEKTOR-IP54;T5;1;T5 - 275 x 1240 x 90; 95.92 ; 20.00 ;;;;;
ZC254/REFLEKTOR-IP54+Dim1-10V;T5;1;T5 - 275 x 1240 x 90; 114.76 ; 20.00 ;;;;;
ZC254/REFLEKTOR-IP54+DimDALI;T5;1;T5 - 275 x 1240 x 90; 119.56 ; 20.00 ;;;;;
ZC254/REFLEKTOR-IP54+DimDSI;T5;1;T5 - 275 x 1240 x 90; 124.04 ; 20.00 ;;;;;
ZC254/REFLEKTOR-IP54+NZ;T5;1;T5 - 275 x 1240 x 90; 133.92 ; 20.00 ;;;;;
ZC235/REFLEKTOR-IP54;T5;1;T5 - 275 x 1540 x 90; 115.12 ; 20.00 ;;;;;
ZC235/REFLEKTOR-IP54+Dim1-10V;T5;1;T5 - 275 x 1540 x 90; 133.96 ; 20.00 ;;;;;
ZC235/REFLEKTOR-IP54+DimDALI;T5;1;T5 - 275 x 1540 x 90; 138.76 ; 20.00 ;;;;;
ZC235/REFLEKTOR-IP54+DimDSI;T5;1;T5 - 275 x 1540 x 90; 143.24 ; 20.00 ;;;;;
ZC235/REFLEKTOR-IP54+NZ;T5;1;T5 - 275 x 1540 x 90; 153.12 ; 20.00 ;;;;;
ZC249/REFLEKTOR-IP54;T5;1;T5 - 275 x 1540 x 90; 114.24 ; 20.00 ;;;;;
