Référence;Label;En Vente;Description;Prix vente HT;taux TVA;poids;volume;Image;Code douanier;code_barre
28406;DIX SOBREMESA NEGRO E14 MAX 40W;1;;52,70;20;;;;;8421776045132
28407;DIX PIE DE SALON NEGRO 1 E27 MAX 60W;1;;124,90;20;;;;;8421776045149
28407;DIX PIE DE SALON NEGRO 1 E27 MAX 60W;1;;124,90;20;;;;;8421776045149
28408;HAT SOBREMESA BLANCO 1 E14 MAX 40W;1;;54,00;20;;;;;8421776045163
29003;GENAKER APLIQUE HALOGENO 100W;1;;51,60;20;;;;;8421776290037
29238;SISMO-P COLGANTE NEGRA Y ORO 1 T5 22W;1;;292,00;20;;;;;8421776047457
29239;SISMO-G COLGANTE NEGRA Y ORO 1 T5 32W;1;;399,00;20;;;;;8421776047464
29293;MURANO COLGANTE 16L E14 60W CRYSTAL;1;;1995,00;20;;;;;8421776015852
29294;PAPILLON COLGANTE BLANCO 49CMS 2 x E27;1;;245,00;20;;;;;8421776081567
29295;PAPILLON COLGANTE NEGRO 49 CMS 2 x E27;1;;245,00;20;;;;;8421776081574
29296;PAPILLON COLGANTE BLANCO 70 CMS T5 55 CMS;1;;313,00;20;;;;;8421776081598
29297;PAPILLON COLGANTE NEGRO 70 CMS T5 55 CMS;1;;313,00;20;;;;;8421776081642
29300;PERGAMO COLGANTE 3L E27 60W BEIGE;1;;278,30;20;;;;;8421776015951
29306;LINDA APLIQUE 2L E27 BLANCO;1;;68,90;20;;;;;8421776017788
29307;LINDA SOBREMESA 1L E27 BLANCO;1;;126,30;20;;;;;8421776017795
29308;LINDA PIE DE SALON 1L E27 BLANCO;1;;299,00;20;;;;;8421776017771
29309;LINDA COLGANTE 1L E27 BLANCO;1;;138,00;20;;;;;8421776017801
29310;LINDA APLIQUE 2L E27 NEGRO;1;;68,90;20;;;;;8421776016002
29311;LINDA SOBREMESA 1L E27 NEGRO;1;;126,30;20;;;;;8421776015975
29312;LINDA PIE DE SALON 1L E27 NEGRO;1;;299,00;20;;;;;8421776015968
29313;LINDA COLGANTE 1L E27 NEGRO;1;;138,00;20;;;;;8421776015999
29468;MAGMA-P 3L E27 60W NEGRO Y ORO Ø70 CMS;1;;561,90;20;;;;;8421776294684
29664;HANS COLGANTE PLATA E27 60W;1;;281,00;20;;;;;8421776047471
29764;BLACK PIE SALON 1L E27 60W;1;;76,05;20;;;;;8421776297647
29789;MAGMA-G NEGRO Ø120 CMS 5L E27 40W;1;;1521,04;20;;;;;8421776297890
29793;CHAPÍ-P SOBREMESA CROMO 1LED 3W 3000K;1;;87,70;20;;;;;8421776297937
29796;CHAPÍ-G SOBREMESA CROMO 1LED 3W 3000K;1;;120,00;20;;;;;8421776297968
